season,matchday,h_team,a_team,h_goals,a_goals,h_ht_goals,a_ht_goals,h_shots_on_goal,a_shots_on_goal,h_distance,a_distance,h_total_passes,a_total_passes,h_success_passes,a_success_passes,h_failed_passes,a_failed_passes,h_pass_ratio,a_pass_ratio,h_possesion,a_possesion,h_tackle_ratio,a_tackle_ratio,h_fouls,a_fouls,h_got_fouled,a_got_fouled,h_offside,a_offside,h_corners,a_corners
13-14,19,Bayer 04 Leverkusen ,VfB Stuttgart ,2,1,1,1,11,11,"117,31 km","117,59 km",491,301,410,197,81,104,84%,65%,62%,38%,54%,46%,17,16,16,17,5,1,4,8
13-14,19,TSG Hoffenheim ,Hamburger SV ,3,0,2,0,14,8,"122,66 km","114,08 km",305,653,227,554,78,99,74%,85%,33%,67%,48%,52%,26,14,13,26,8,2,7,5
13-14,19,1. FSV Mainz 05 ,SC Freiburg ,2,0,1,0,13,6,"119,51 km","121,72 km",478,440,382,330,96,110,80%,75%,52%,48%,58%,42%,11,28,25,10,2,0,5,5
13-14,19,FC Augsburg ,Werder Bremen ,3,1,1,1,20,4,"119,53 km","114,87 km",653,240,548,141,105,99,84%,59%,72%,28%,59%,41%,11,20,20,10,2,2,6,4
13-14,19,Hannover 96 ,Bor. Mönchengladbach ,3,1,0,0,16,11,"125,94 km","119,66 km",350,678,281,610,69,68,80%,90%,35%,65%,48%,52%,9,14,14,9,2,1,7,7
13-14,19,Hertha BSC ,1. FC Nürnberg ,1,3,1,1,13,11,"114,39 km","116,23 km",317,419,230,318,87,101,73%,76%,43%,57%,47%,53%,17,25,24,17,1,2,3,3
13-14,19,Bayern München ,Eintracht Frankfurt ,5,0,2,0,24,9,"114,88 km","115,27 km",770,285,704,216,66,69,91%,76%,72%,28%,50%,50%,16,12,12,16,0,6,12,2
13-14,20,Bor. Mönchengladbach ,Bayer 04 Leverkusen ,0,1,0,0,14,12,"122,32 km","121,32 km",519,530,430,440,89,90,83%,83%,50%,50%,51%,49%,11,15,15,11,0,2,4,3
13-14,20,VfL Wolfsburg ,1. FSV Mainz 05 ,3,0,0,0,17,8,"120,19 km","121,03 km",609,336,535,252,74,84,88%,75%,64%,36%,47%,53%,22,14,14,21,0,7,4,1
13-14,20,Werder Bremen ,Borussia Dortmund ,1,5,0,2,12,15,"115,64 km","118,48 km",432,537,314,418,118,119,73%,78%,45%,55%,56%,44%,17,12,12,17,4,1,5,9
13-14,20,1. FC Nürnberg ,Bayern München ,0,2,0,1,9,19,"116,33 km","113,01 km",279,522,198,420,81,102,71%,80%,36%,64%,48%,52%,26,21,20,26,6,1,3,5
13-14,20,SC Freiburg ,TSG Hoffenheim ,1,1,0,0,11,18,"121,77 km","120,87 km",416,464,299,354,117,110,72%,76%,47%,53%,46%,54%,20,15,14,20,4,2,3,2
13-14,20,Eintracht Frankfurt ,Eintracht Braunschweig ,3,0,3,0,19,10,"115,73 km","121,32 km",428,337,347,262,81,75,81%,78%,57%,43%,53%,47%,14,23,21,14,2,2,10,2
13-14,20,Hamburger SV ,Hertha BSC ,0,3,0,3,14,10,"109,84 km","116,87 km",540,309,435,213,105,96,81%,69%,63%,37%,45%,55%,17,12,12,16,1,3,8,3
13-14,20,VfB Stuttgart ,FC Augsburg ,1,4,0,2,16,10,"110,19 km","115,87 km",512,526,438,436,74,90,86%,83%,49%,51%,41%,59%,9,8,8,9,2,7,5,2
13-14,20,FC Schalke 04 ,Hannover 96 ,2,0,2,0,16,6,"115,77 km","119,65 km",530,409,442,323,88,86,83%,79%,56%,44%,59%,41%,10,20,20,10,3,0,5,0
13-14,21,1. FSV Mainz 05 ,Hannover 96 ,2,0,0,0,19,14,"125,21 km","126,07 km",377,588,299,481,78,107,79%,82%,38%,62%,47%,53%,14,11,9,14,4,0,4,5
13-14,21,Borussia Dortmund ,Eintracht Frankfurt ,4,0,2,0,21,7,"118,36 km","111,8 km",482,483,399,391,83,92,83%,81%,49%,51%,56%,44%,17,18,18,17,3,1,6,5
13-14,21,Bayern München ,SC Freiburg ,4,0,3,0,16,12,"115,77 km","120,91 km",686,308,590,220,96,88,86%,71%,68%,32%,55%,45%,12,11,11,11,2,5,2,4
13-14,21,Werder Bremen ,Bor. Mönchengladbach ,1,1,0,1,15,17,"121,6 km","118,81 km",357,472,255,361,102,111,71%,76%,44%,56%,47%,53%,10,14,13,10,1,0,5,10
