index,season,matchday,h_team,a_team,h_goals,a_goals,h_ht_goals,a_ht_goals,h_shots_on_goal,a_shots_on_goal,h_distance,a_distance,h_total_passes,a_total_passes,h_success_passes,a_success_passes,h_failed_passes,a_failed_passes,h_pass_ratio,a_pass_ratio,h_possession,a_possession,h_tackle_ratio,a_tackle_ratio,h_fouls,a_fouls,h_got_fouled,a_got_fouled,h_offside,a_offside,h_corners,a_corners
39,13-14,5,Werder Bremen,Eintracht Frankfurt,0,3,0,2,12,14,109.63,110.73,288,616,202,527,86,89,0.7,0.86,0.33,0.67,0.41,0.59,14,13,12,14,0,4,5,10
40,13-14,5,1. FSV Mainz 05,FC Schalke 04,0,1,0,1,14,10,117.73,114.79,556,464,504,387,52,77,0.91,0.83,0.54,0.46,0.52,0.48,15,17,17,13,1,3,1,5
41,13-14,5,FC Augsburg,SC Freiburg,2,1,0,0,15,5,116.03,117.62,469,373,370,277,99,96,0.79,0.74,0.56,0.44,0.57,0.43,16,21,20,14,1,1,10,3
42,13-14,5,Borussia Dortmund,Hamburger SV,6,2,2,1,33,4,115.63,110.55,495,380,385,261,110,119,0.78,0.69,0.56,0.44,0.6,0.4,12,20,19,11,7,0,7,2
43,13-14,5,TSG Hoffenheim,Bor. Mönchengladbach,2,1,1,0,10,16,126.59,120.04,313,803,218,714,95,89,0.7,0.89,0.3,0.7,0.42,0.58,16,7,7,15,4,4,2,3
44,13-14,5,Eintracht Braunschweig,1. FC Nürnberg,1,1,0,1,23,9,113.84,112.62,355,299,239,213,116,86,0.67,0.71,0.55,0.45,0.55,0.45,17,18,18,17,6,2,6,3
45,13-14,6,Bor. Mönchengladbach,Eintracht Braunschweig,4,1,2,0,13,11,116.65,118.39,629,407,551,338,78,69,0.88,0.83,0.6,0.4,0.55,0.45,11,13,13,10,3,6,0,1
46,13-14,6,Hannover 96,FC Augsburg,2,1,0,0,16,13,110.16,111.55,431,251,327,157,104,94,0.76,0.63,0.63,0.37,0.53,0.47,21,18,17,19,1,1,8,1
47,13-14,6,VfL Wolfsburg,TSG Hoffenheim,2,1,1,1,15,7,116.48,116.59,470,299,373,212,97,87,0.79,0.71,0.61,0.39,0.6,0.4,15,20,20,15,3,3,6,6
48,13-14,6,1. FC Nürnberg,Borussia Dortmund,1,1,0,1,10,18,120.12,119.85,450,501,380,404,70,97,0.84,0.81,0.48,0.52,0.46,0.54,7,12,12,7,2,3,3,9
49,13-14,6,1. FSV Mainz 05,Bayer 04 Leverkusen,1,4,0,3,14,14,113.88,116.07,435,415,371,334,64,81,0.85,0.8,0.52,0.48,0.42,0.58,14,11,10,13,1,1,4,4
50,13-14,6,Hamburger SV,Werder Bremen,0,2,0,1,19,16,114.45,117.03,450,280,331,188,119,92,0.74,0.67,0.61,0.39,0.56,0.44,15,18,18,14,5,0,4,6
51,13-14,6,FC Schalke 04,Bayern München,0,4,0,2,10,14,109.89,116.39,319,747,246,652,73,95,0.77,0.87,0.31,0.69,0.45,0.55,7,6,6,7,3,0,5,5
52,13-14,6,SC Freiburg,Hertha BSC,1,1,1,1,8,8,119.15,111.94,467,442,378,369,89,73,0.81,0.83,0.52,0.48,0.4,0.6,22,12,12,22,0,0,9,2
53,13-14,6,VfB Stuttgart,Eintracht Frankfurt,1,1,1,1,13,16,120.62,116.98,400,443,310,367,90,76,0.78,0.83,0.48,0.52,0.5,0.5,11,13,13,11,5,1,4,7
54,13-14,7,FC Augsburg,Bor. Mönchengladbach,2,2,1,1,20,9,117.41,114.67,469,446,384,365,85,81,0.82,0.82,0.51,0.49,0.45,0.55,9,13,13,8,0,0,3,3
55,13-14,7,Borussia Dortmund,SC Freiburg,5,0,2,0,28,2,117.25,112.97,614,397,515,299,99,98,0.84,0.75,0.6,0.4,0.52,0.48,13,11,10,12,3,0,9,0
56,13-14,7,Bayern München,VfL Wolfsburg,1,0,0,0,11,4,115.6,119.74,591,243,519,171,72,72,0.88,0.7,0.7,0.3,0.48,0.52,12,24,23,12,3,3,8,2
57,13-14,7,Bayer 04 Leverkusen,Hannover 96,2,0,2,0,19,8,115.25,112.89,410,429,334,352,76,77,0.81,0.82,0.48,0.52,0.52,0.48,12,17,17,12,1,2,4,9
58,13-14,7,TSG Hoffenheim,FC Schalke 04,3,3,1,3,14,12,111.65,109.28,382,425,288,332,94,93,0.75,0.78,0.47,0.53,0.52,0.48,21,24,22,21,3,3,2,7
59,13-14,7,Hertha BSC,1. FSV Mainz 05,3,1,0,1,9,8,119.92,118.37,511,295,427,201,84,94,0.84,0.68,0.63,0.37,0.49,0.51,27,20,20,25,4,3,5,5
60,13-14,7,Eintracht Frankfurt,Hamburger SV,2,2,1,1,9,11,115.44,119.74,466,360,380,287,86,73,0.82,0.8,0.56,0.44,0.47,0.53,21,16,16,21,4,2,9,6
