index,season,matchday,h_team,a_team,h_goals,a_goals,h_ht_goals,a_ht_goals,h_shots_on_goal,a_shots_on_goal,h_distance,a_distance,h_total_passes,a_total_passes,h_success_passes,a_success_passes,h_failed_passes,a_failed_passes,h_pass_ratio,a_pass_ratio,h_possession,a_possession,h_tackle_ratio,a_tackle_ratio,h_fouls,a_fouls,h_got_fouled,a_got_fouled,h_offside,a_offside,h_corners,a_corners
242,13-14,27,Hamburger SV,SC Freiburg,1,1,0,0,21,11,112.76,122.88,423,392,323,273,100,119,0.76,0.7,0.52,0.48,0.54,0.46,17,15,15,17,2,1,6,3
243,13-14,27,Eintracht Frankfurt,Bor. Mönchengladbach,1,0,1,0,14,9,119.33,121.19,388,616,303,517,85,99,0.78,0.84,0.4,0.6,0.55,0.45,11,12,12,11,7,1,11,7
244,13-14,28,FC Schalke 04,Hertha BSC,2,0,1,0,13,11,122.35,118.05,445,400,326,284,119,116,0.73,0.71,0.52,0.48,0.57,0.43,17,19,18,17,1,3,1,4
245,13-14,28,Bayern München,TSG Hoffenheim,3,3,3,2,11,20,115.04,121.22,601,287,484,177,117,110,0.81,0.62,0.67,0.33,0.53,0.47,13,18,18,13,3,4,3,1
246,13-14,28,Bayer 04 Leverkusen,Eintracht Braunschweig,1,1,0,0,15,9,115.19,118.3,518,247,410,165,108,82,0.79,0.67,0.67,0.33,0.57,0.43,16,13,12,16,5,4,7,1
247,13-14,28,VfB Stuttgart,Borussia Dortmund,2,3,2,1,11,17,113.55,118.76,270,612,168,507,102,105,0.62,0.83,0.31,0.69,0.52,0.48,15,14,14,14,1,2,2,9
248,13-14,28,VfL Wolfsburg,Eintracht Frankfurt,2,1,0,1,22,11,111.44,108.04,423,307,339,198,84,109,0.8,0.64,0.58,0.42,0.55,0.45,19,19,19,17,1,5,4,3
249,13-14,28,1. FSV Mainz 05,FC Augsburg,3,0,2,0,14,12,118.68,115.26,441,385,362,282,79,103,0.82,0.73,0.53,0.47,0.53,0.47,14,20,20,14,1,1,5,8
250,13-14,28,SC Freiburg,1. FC Nürnberg,3,2,1,2,14,9,122.07,119.33,361,328,261,232,100,96,0.72,0.71,0.52,0.48,0.44,0.56,16,22,21,16,2,1,8,4
251,13-14,28,Bor. Mönchengladbach,Hamburger SV,3,1,1,1,17,17,114.37,114.88,634,373,558,298,76,75,0.88,0.8,0.62,0.38,0.49,0.51,11,15,14,11,3,3,6,10
252,13-14,28,Hannover 96,Werder Bremen,1,2,1,0,9,11,116.22,115.56,406,397,288,276,118,121,0.71,0.7,0.52,0.48,0.44,0.56,19,13,13,17,0,9,10,8
253,13-14,29,Hamburger SV,Bayer 04 Leverkusen,2,1,1,0,18,19,120.82,121.12,358,509,251,384,107,125,0.7,0.75,0.4,0.6,0.46,0.54,16,15,15,15,1,1,4,14
254,13-14,29,VfB Stuttgart,SC Freiburg,2,0,0,0,12,18,117.99,120.03,450,362,357,278,93,84,0.79,0.77,0.56,0.44,0.52,0.48,13,17,17,12,1,3,3,6
255,13-14,29,Werder Bremen,FC Schalke 04,1,1,1,1,19,9,115.79,113.53,334,436,235,333,99,103,0.7,0.76,0.44,0.56,0.52,0.48,17,20,18,17,2,2,9,4
256,13-14,29,1. FC Nürnberg,Bor. Mönchengladbach,0,2,0,1,14,15,118.41,117.19,526,400,443,318,83,82,0.84,0.8,0.57,0.43,0.56,0.44,7,16,16,7,5,2,8,5
257,13-14,29,FC Augsburg,Bayern München,1,0,1,0,11,16,115.92,112.65,322,686,219,591,103,95,0.68,0.86,0.33,0.67,0.42,0.58,16,13,13,15,5,1,3,4
258,13-14,29,Eintracht Frankfurt,1. FSV Mainz 05,2,0,0,0,14,17,109.76,109.71,323,428,240,356,83,72,0.74,0.83,0.43,0.57,0.57,0.43,11,18,18,10,5,4,2,6
259,13-14,29,Borussia Dortmund,VfL Wolfsburg,2,1,0,1,10,19,118.03,115.03,376,415,237,286,139,129,0.63,0.69,0.48,0.52,0.52,0.48,15,14,13,13,3,3,7,2
260,13-14,29,Eintracht Braunschweig,Hannover 96,3,0,2,0,11,11,116.24,111.71,228,472,130,351,98,121,0.57,0.74,0.33,0.67,0.54,0.46,17,16,16,16,4,2,5,6
261,13-14,29,Hertha BSC,TSG Hoffenheim,1,1,1,1,11,11,112.72,115.72,365,442,206,277,159,165,0.56,0.63,0.45,0.55,0.46,0.54,19,17,17,18,1,2,3,4
262,13-14,30,FC Schalke 04,Eintracht Frankfurt,2,0,0,0,22,10,116.74,111.31,501,365,420,270,81,95,0.84,0.74,0.57,0.43,0.44,0.56,15,14,12,14,1,0,4,5
263,13-14,30,Bor. Mönchengladbach,VfB Stuttgart,1,1,0,1,14,18,117.27,121.43,640,358,545,259,95,99,0.85,0.72,0.64,0.36,0.49,0.51,12,15,15,12,2,1,6,5
264,13-14,30,Hannover 96,Hamburger SV,2,1,1,0,31,5,111.5,111.7,331,293,229,168,102,125,0.69,0.57,0.53,0.47,0.51,0.49,20,16,16,18,1,1,5,2
265,13-14,30,VfL Wolfsburg,1. FC Nürnberg,4,1,2,1,24,5,114.14,114.36,365,367,273,273,92,94,0.75,0.74,0.5,0.5,0.48,0.52,13,13,13,12,3,4,11,2
266,13-14,30,SC Freiburg,Eintracht Braunschweig,2,0,1,0,19,13,119.48,116.66,383,385,281,275,102,110,0.73,0.71,0.5,0.5,0.52,0.48,15,20,20,15,2,2,3,3
267,13-14,30,1. FSV Mainz 05,Werder Bremen,3,0,3,0,23,9,115.85,115.37,461,279,373,180,88,99,0.81,0.65,0.6,0.4,0.58,0.42,12,17,16,12,6,4,3,12
268,13-14,30,Bayern München,Borussia Dortmund,0,3,0,1,14,9,109.96,117.64,685,283,585,189,100,94,0.85,0.67,0.71,0.29,0.52,0.48,17,13,12,15,3,9,12,2
269,13-14,30,Bayer 04 Leverkusen,Hertha BSC,2,1,2,1,17,9,116.27,117.92,464,398,336,279,128,119,0.72,0.7,0.53,0.47,0.55,0.45,17,13,13,17,1,1,7,2
270,13-14,30,TSG Hoffenheim,FC Augsburg,2,0,2,0,26,23,120.61,114.97,339,431,238,320,101,111,0.7,0.74,0.44,0.56,0.43,0.57,22,19,18,21,0,1,6,10
271,13-14,31,Eintracht Frankfurt,Hannover 96,2,3,1,3,14,16,117.08,121.04,449,349,319,246,130,103,0.71,0.7,0.56,0.44,0.56,0.44,24,22,21,24,4,3,3,4
272,13-14,31,Borussia Dortmund,1. FSV Mainz 05,4,2,2,1,30,9,117.1,114.38,423,418,296,295,127,123,0.7,0.71,0.5,0.5,0.53,0.48,9,18,15,8,4,4,12,2
273,13-14,31,Werder Bremen,TSG Hoffenheim,3,1,1,1,12,14,113.37,111.88,339,348,212,227,127,121,0.63,0.65,0.49,0.51,0.51,0.49,11,24,24,10,1,3,8,6
274,13-14,31,SC Freiburg,Bor. Mönchengladbach,4,2,0,1,15,14,125.41,113.37,475,493,375,382,100,111,0.79,0.77,0.5,0.5,0.5,0.5,8,9,8,7,1,2,5,5
275,13-14,31,FC Augsburg,Hertha BSC,0,0,0,0,10,13,110.63,114.45,440,290,344,205,96,85,0.78,0.71,0.59,0.41,0.51,0.49,17,16,16,16,2,3,3,4
276,13-14,31,Eintracht Braunschweig,Bayern München,0,2,0,0,7,12,117.42,113.23,292,607,175,483,117,124,0.6,0.8,0.33,0.67,0.45,0.55,19,16,14,19,7,3,2,3
277,13-14,31,Hamburger SV,VfL Wolfsburg,1,3,0,2,14,16,115.59,117.93,404,392,295,294,109,98,0.73,0.75,0.51,0.49,0.51,0.49,18,16,14,18,4,2,4,7
278,13-14,31,1. FC Nürnberg,Bayer 04 Leverkusen,1,4,1,1,9,15,111.35,111.49,347,390,259,293,88,97,0.75,0.75,0.47,0.53,0.46,0.54,15,14,13,14,2,2,3,8
279,13-14,31,VfB Stuttgart,FC Schalke 04,3,1,1,0,12,14,119.61,115.12,308,494,199,379,109,115,0.65,0.77,0.4,0.6,0.46,0.54,23,13,12,22,0,3,2,3
280,13-14,32,Hannover 96,VfB Stuttgart,0,0,0,0,9,8,118.42,119.29,472,515,371,419,101,96,0.79,0.81,0.48,0.52,0.46,0.54,15,15,15,13,2,8,2,5
281,13-14,32,Bayern München,Werder Bremen,5,2,1,2,23,7,114.72,113.97,727,213,637,128,90,85,0.88,0.6,0.76,0.24,0.52,0.48,11,13,13,11,1,3,13,5
282,13-14,32,VfL Wolfsburg,SC Freiburg,2,2,1,0,24,13,111.27,116.67,366,388,271,292,95,96,0.74,0.75,0.49,0.51,0.52,0.48,13,14,12,13,1,3,11,7
283,13-14,32,TSG Hoffenheim,Eintracht Frankfurt,0,0,0,0,18,8,109.76,105.74,428,450,345,369,83,81,0.81,0.82,0.48,0.52,0.48,0.52,18,13,13,18,0,2,3,2
284,13-14,32,1. FSV Mainz 05,1. FC Nürnberg,2,0,2,0,18,13,114.74,114.77,481,335,374,247,107,88,0.78,0.74,0.58,0.42,0.49,0.51,6,11,10,6,0,2,8,7
285,13-14,32,Hertha BSC,Eintracht Braunschweig,2,0,0,0,20,8,113.17,115.12,337,376,234,251,103,125,0.69,0.67,0.48,0.52,0.55,0.45,14,18,17,13,3,2,8,3
286,13-14,32,Bayer 04 Leverkusen,Borussia Dortmund,2,2,2,2,16,14,113.49,114.05,360,533,258,414,102,119,0.72,0.78,0.41,0.59,0.57,0.43,14,9,8,12,3,0,7,5
287,13-14,32,FC Augsburg,Hamburger SV,3,1,3,1,15,19,122.58,118.83,371,437,272,341,99,96,0.73,0.78,0.46,0.54,0.44,0.56,16,19,17,15,0,1,4,5
288,13-14,32,FC Schalke 04,Bor. Mönchengladbach,0,1,0,1,17,12,124.24,122.28,506,499,409,394,97,105,0.81,0.79,0.5,0.5,0.44,0.56,11,1,1,11,2,0,12,9
289,13-14,33,Borussia Dortmund,TSG Hoffenheim,3,2,3,1,16,12,119.98,119.36,450,416,317,284,133,132,0.7,0.68,0.51,0.49,0.51,0.49,16,23,22,16,3,2,5,5
290,13-14,33,Bor. Mönchengladbach,1. FSV Mainz 05,3,1,1,0,7,18,119.36,118.94,484,571,383,467,101,104,0.79,0.82,0.45,0.55,0.45,0.55,8,11,9,8,0,2,3,6
