,Date,Open,High,Low,Close,Adj Close,Volumn
585,2016-12-07,183.00,183.50,181.50,181.50,151.10,"14,110,000"
584,2016-12-08,184.00,185.50,183.00,185.50,154.43,"27,257,000"
583,2016-12-09,186.00,186.00,184.50,186.00,154.85,"24,867,000"
582,2016-12-12,186.00,187.00,184.00,185.00,154.01,"18,796,000"
581,2016-12-13,186.50,186.50,184.50,186.00,154.85,"23,591,000"
580,2016-12-14,186.50,187.50,185.50,187.50,156.09,"16,571,000"
579,2016-12-15,185.00,187.50,184.50,187.00,155.68,"22,803,000"
578,2016-12-16,185.50,187.00,185.00,185.00,154.01,"35,985,000"
577,2016-12-19,184.00,184.50,182.50,182.50,151.93,"20,535,000"
576,2016-12-20,181.00,182.50,180.00,182.50,151.93,"24,139,000"
575,2016-12-21,181.00,182.00,180.00,180.00,149.85,"29,690,000"
574,2016-12-22,180.00,180.50,179.00,179.00,149.02,"26,269,000"
573,2016-12-23,179.00,180.00,178.50,178.50,148.60,"22,961,000"
572,2016-12-26,179.00,180.00,179.00,179.50,149.43,"5,675,000"
571,2016-12-27,180.00,180.50,179.50,180.00,149.85,"8,252,000"
570,2016-12-28,181.00,182.00,180.50,182.00,151.52,"21,226,000"
569,2016-12-29,180.00,181.50,180.00,180.00,149.85,"30,200,000"
568,2016-12-30,181.00,182.50,180.00,181.50,151.10,"36,610,000"
689,2017-01-03,181.50,183.50,181.00,183.00,152.35,"22,630,000"
688,2017-01-04,183.00,184.00,181.50,183.00,152.35,"24,369,000"
687,2017-01-05,182.00,183.50,181.50,183.50,152.76,"20,979,000"
686,2017-01-06,184.00,184.50,183.50,184.00,153.18,"22,443,000"
685,2017-01-09,184.00,185.00,183.00,184.00,153.18,"18,569,000"
684,2017-01-10,184.50,185.50,183.50,184.00,153.18,"20,198,000"
683,2017-01-11,185.00,185.00,181.50,182.00,151.52,"29,107,000"
682,2017-01-12,182.50,185.50,182.50,184.50,153.60,"41,130,000"
681,2017-01-13,180.50,182.50,180.50,181.50,151.10,"52,352,000"
680,2017-01-16,180.00,180.50,179.00,179.50,149.43,"30,756,000"
679,2017-01-17,180.50,181.00,179.50,181.00,150.68,"13,159,000"
678,2017-01-18,180.50,181.00,179.50,181.00,150.68,"23,693,000"
677,2017-01-19,179.50,181.00,179.50,180.50,150.27,"24,627,000"
676,2017-01-20,181.00,181.50,180.50,181.00,150.68,"23,429,000"
675,2017-01-23,182.50,185.00,182.50,185.00,154.01,"36,992,000"
674,2017-01-24,185.00,186.50,184.50,185.50,154.43,"55,022,000"
673,2017-02-02,188.00,188.50,184.00,184.50,153.60,"94,089,000"
672,2017-02-03,186.00,186.00,183.50,184.50,153.60,"29,518,000"
671,2017-02-06,184.50,185.50,184.00,184.50,153.60,"24,779,000"
670,2017-02-07,183.50,185.00,183.00,184.50,153.60,"23,616,000"
669,2017-02-08,183.50,184.50,183.00,183.50,152.76,"29,168,000"
668,2017-02-09,184.00,185.50,183.50,184.00,153.18,"18,967,000"
